"Var1","Var2","Var3","n","e","TF_fam","comploc_n","b","c","d","tfpercentage","pval","adj.p"
"ICDH","mitochondrion","BBR/BPC",5,"ICDH_mitochondrion",6,202,197,1,759,2.47524752475248,0.00195057697697166,0.0916771179176682
"MDH","mitochondrion","BBR/BPC",5,"MDH_mitochondrion",6,149,144,1,812,3.35570469798658,0.000441669223986645,0.0203167843033857
"OGDH","mitochondrion","BBR/BPC",4,"OGDH_mitochondrion",6,148,144,2,812,2.7027027027027,0.00628650072170797,0.270319531033443
"PDH","mitochondrion","BBR/BPC",5,"PDH_mitochondrion",6,471,466,1,490,1.06157112526539,0.0992196331911858,1
"SCL","mitochondrion","BBR/BPC",0,"SCL_mitochondrion",6,17,17,6,939,0,1,1
"SDH","mitochondrion","BBR/BPC",6,"SDH_mitochondrion",6,375,369,0,587,1.6,0.00342345425051966,0.154055441273385
"ACO","peroxisome","BBR/BPC",0,"ACO_peroxisome",6,NA,NA,6,NA,NA,NA,NA
"CSY","peroxisome","BBR/BPC",2,"CSY_peroxisome",6,150,148,4,808,1.33333333333333,0.237237103849563,1
"FUM","peroxisome","BBR/BPC",0,"FUM_peroxisome",6,NA,NA,6,NA,NA,NA,NA
"ICDH","peroxisome","BBR/BPC",1,"ICDH_peroxisome",6,70,69,5,887,1.42857142857143,0.365246411376857,1
"MDH","peroxisome","BBR/BPC",1,"MDH_peroxisome",6,143,142,5,814,0.699300699300699,0.620278063010405,1
"OGDH","peroxisome","BBR/BPC",0,"OGDH_peroxisome",6,NA,NA,6,NA,NA,NA,NA
"PDH","peroxisome","BBR/BPC",0,"PDH_peroxisome",6,NA,NA,6,NA,NA,NA,NA
"SCL","peroxisome","BBR/BPC",0,"SCL_peroxisome",6,NA,NA,6,NA,NA,NA,NA
"SDH","peroxisome","BBR/BPC",0,"SDH_peroxisome",6,NA,NA,6,NA,NA,NA,NA
"ACO","plastid","BBR/BPC",0,"ACO_plastid",6,NA,NA,6,NA,NA,NA,NA
"CSY","plastid","BBR/BPC",0,"CSY_plastid",6,NA,NA,6,NA,NA,NA,NA
"FUM","plastid","BBR/BPC",0,"FUM_plastid",6,NA,NA,6,NA,NA,NA,NA
"ICDH","plastid","BBR/BPC",0,"ICDH_plastid",6,NA,NA,6,NA,NA,NA,NA
"MDH","plastid","BBR/BPC",2,"MDH_plastid",6,96,94,4,862,2.08333333333333,0.113340595463683,1
"OGDH","plastid","BBR/BPC",0,"OGDH_plastid",6,NA,NA,6,NA,NA,NA,NA
"PDH","plastid","BBR/BPC",6,"PDH_plastid",6,330,324,0,632,1.81818181818182,0.00158112661242447,0.07431295078395
"SCL","plastid","BBR/BPC",0,"SCL_plastid",6,NA,NA,6,NA,NA,NA,NA
"SDH","plastid","BBR/BPC",0,"SDH_plastid",6,NA,NA,6,NA,NA,NA,NA
"ACO","cytosol","bHLH",2,"ACO_cytosol",49,65,63,47,850,3.07692307692308,0.859326165783759,1
"CSY","cytosol","bHLH",0,"CSY_cytosol",49,NA,NA,49,NA,NA,NA,NA
"FUM","cytosol","bHLH",0,"FUM_cytosol",49,39,39,49,874,0,1,1
"ICDH","cytosol","bHLH",1,"ICDH_cytosol",49,173,172,48,741,0.578034682080925,0.999954264545846,1
"MDH","cytosol","bHLH",1,"MDH_cytosol",49,215,214,48,699,0.465116279069767,0.999997128001466,1
